Age,Maximum,Mean,CImin,CImax
36,13,13,13,13
35,13,13,13,13
33,12,11.3025,7,12
32,10,9.6357,7,10
31,10,9.6282,7,10
30,7,6.4988,5,7
29,7,6.3708,4,7
28,7,6.629,4,7
27,6,6,6,6
26,8,8,8,8
25,8,8,8,8
24,NA,NA,NA,NA
23,NA,NA,NA,NA
22,9,9,9,9
21,9,9,9,9
20,9,7.7554,4,9
19,9,8.8529,5,9
18,13,11.8561,9,13
17,13,12.0583,9,13
16,16,15.4806,9,16
15,16,15.4852,9,16
14,9,7.7635,4,9
13,13,11.4464,4,13
12,13,10.874,4,13
11,9,8.0318,4,9
10,9,8.5191,6,9
9,8,7.5162,6,8
8,5,4.7535,4,5
7,6,5.5941,4,6
6,6,5.5786,4,6
5,5,4.6406,2,5
4,4,3.1237,1,4
3,4,3.2562,1,4
2,2,1.706,1,2