Locality_number,Locality_name,Latitude,Longitude,Max.age,Min.age,Age,Brachydonts,Hypsodonts
1109,Agate_Spring,42.417222,-103.7272,19.5,18,18.75,7,2
1162,"Aletomeryx_Quarry,_NB",42.751,-102.022,18,18,18,8,1
1142,"Aphelops_Draw_LF,_NB",43.2,-103.79,7.5,7.5,7.5,4,7
1147,"Big_Spring_Canyon_LF,_SD",43.108,-101.939,10,10,10,6,11
1130,"Big_Springs_LF,_NB",42.3783,-98.2344,2,2,2,2,7
1145,"Blue_Jay_Quarry,_NB",42.48,-98.3,9,9,9,6,8
1107,Bridgewater_Quarry,NA,NA,18.2,18.2,18.2,4,1
1131,"Broadwater_LF,_NB",41.606,-102.746,3,3,3,1,5
1141,"Cambridge_FT_40_LF,_NB",40.37,-100.28,6.5,6.5,6.5,6,10
1152,"Carrot_Top_Quarry,_NB",42.76,-100.19,13.5,13.5,13.5,9,7
1132,"Deer_Park_LF,_KS",37.17,-100.02,3,3,3,1,5
1105,Dunlap_Camel_Quarry,42.4684,-102.932,18.2,18.2,18.2,3,3
1114,Eagle_Crag,42.42843,-103.435815,19.2,19.2,19.2,4,1
1156,"Echo_Quarry,_NB",42.1856,-103.7474,15,15,15,15,10
1137,"Edson_Quarry_LF,_KS",39.1545,-101.5121,5.5,5.5,5.5,5,8
1157,"Eubanks_LF,_CO",40.86,-103.92,15,15,15,9,3
1127,"Flagstaff_Rim,_Wyo,_above_Ash_F",42.542,-106.733,35.7,35.7,35.7,13,1
1126,"Flagstaff_Rim,_Wyo,_above_Ash_G",42.542,-106.733,33,33,33,10,1
1160,"Foley_Quarry,_NB",42.403,-103.0247,17,17,17,9,4
1161,"Ginn_Quarry,_NB",42.6478,-102.7843,17,17,17,10,3
1112,Harper_Quarry,43.8632,-103.98,19,19,19,5,1
1119,Harris_Ranch,43.1225,-103.0108,30,29,29.5,5,1
1124,Harris_Ranch_Badlands_Unit_A,43.1225,-103.0108,32.5,32.5,32.5,7,1
1122,Harris_Ranch_Badlands_Unit_D,43.1225,-103.0108,31,31,31,10,2
1121,Harris_Ranch_Badlands_Unit_E,43.1225,-103.0108,30,30,30,7,2
1108,Hemingford_Quarry,42.3216,-103.073,18.2,18.2,18.2,7,2
1136,"Honey_Creek,_NB",42.66,-98.7,5.5,5.5,5.5,2,6
1153,"Horse_&_Mastodon_Quarry,_CO",40.8,-103.8,13.5,13.5,13.5,4,6
1155,"Humbug_Quarry,_NB",42.1711,-103.7279,15,15,15,12,11
1111,Jay_Em_(Wyoming),42.4605,-104.3975,19.5,18,18.75,5,2
1115,Keeline,42.7569117,-104.75663,23.8,19.5,21.65,9,3
1151,"Kennesaw_LF,_CO",40.9853,-103.4869,12,12,12,6,5
1143,"Lemoyne_Quarry,_NB",41.3,-101.89,7.5,7.5,7.5,5,9
1148,"Little_Beaver_B_Quarry,_NB",42.928,-100.413,10,10,10,9,11
1118,Little_Muddy_Creek,42.671944,-104.7556,28.3,27.9,28.1,4,8
1138,"Mailbox_LF,_NB",42.37,-98.25,5.5,5.5,5.5,4,7
1139,"Minium_Quarry,_KS",39.4,-100.07,6.5,6.5,6.5,3,8
1110,Morova_Ranch_Quarry,42.42843,-103.435815,19.5,18.8,19.15,9,2
1116,Muddy_Creek,42.6525,-104.8236,27.3,23.8,25.55,8,7
1150,"Myers_Farm,_NB",40,-98.5,12,12,12,13,5
1113,Niobrara_Canyon,42.628056,-104.0178,18.8,18.8,18.8,9,1
1158,"Observation_Quarry,_NB",42.692,-102.84,15,15,15,16,0
1133,"Rexroad_LF,_KS",37.196,-100.467,3,3,3,4,5
1129,"Sand_Draw_LF,_NB",42.699,-99.985,2,2,2,1,6
1120,SDSM_V5359,NA,NA,28.7,27.9,28.3,7,1
1125,Slim_Buttes_Unit_B,45.507735,-103.140924,33,33,33,12,1
1123,Slim_Buttes_Unit_E,45.507735,-103.140924,31.25,31.25,31.25,9,2
1144,"Snake_Creek_LF,_NB",42.17,-103.73,9,9,9,8,8
1159,"Thompson_Quarry,_NB",42.18,-103.75,17,17,17,13,12
1149,"Trail_Creek_Quarry_LF,_NB",41.4135,-104.7185,12,12,12,4,7
1117,UNSM_SDK-9,NA,NA,27.9,27,27.45,6,0
1106,USNM_Cr-134,NA,NA,18.2,18.2,18.2,3,3
1146,"Wakeeny_Creek_LF,_KS",39.02,-99.87,10,10,10,4,6
1128,"White_Rock_LF,_KS",39.9077,-97.8659,2,2,2,1,5
1140,"Wray_LF,_CO",40.076,-102.227,6.5,6.5,6.5,4,9