Fauna,Zone,Max.Age,Min.Age,Age,Spp.Total,Arboreal,TerrBrowsers,Browsers,Grazers,Sp.herb,Year
White Hunter,A,25,25,25,23,5,11,16,0,16,2026
D Site,A,25,25,25,10,0,8,8,0,8,2026
Dirks Towers,B,18.4,16.55,17.475,33,12,10,22,1,23,2026
Wayne's Wok,B,18.4,16.55,17.475,33,14,10,24,0,24,2026
Camel Sputum,B,18.4,16.55,17.475,43,16,12,28,1,29,2026
Neville's Garden,B,18.4,16.55,17.475,37,15,9,24,0,24,2026
RSO Site,B,18.4,16.55,17.475,17,6,4,10,0,10,2026
Creaser's Rampart,B,18.4,16.55,17.475,21,8,7,15,0,15,2026
Upper Site,B,18.4,16.55,17.475,44,18,9,27,2,29,2026
Cleft of Ages,C,14.82,13.48,14.15,19,8,4,12,2,14,2026
Jim's Carousel,C,14.82,13.48,14.15,17,7,4,11,0,11,2026
Keith's Chocky Block,C,14.82,13.48,14.15,14,4,6,10,0,10,2026
Henk's Hollow,C,14.82,13.48,14.15,26,11,5,16,0,16,2026
Gag Site,C,14.82,13.48,14.15,34,16,6,22,0,22,2026
AL90,C,14.82,13.48,14.15,20,9,3,12,0,12,2026
Last Minute,C,14.82,13.48,14.15,14,10,2,12,0,12,2026
Encore,D,12,10,11,19,6,4,10,1,11,2026