Fauna,Zone,Max.Age,Min.Age,Age,Species,Year,Group
D Site,A,25,25,25,8,2011,Terrestrial browsers
White Hunter,A,25,25,25,14,2011,Terrestrial browsers
Camel Sputum,B,18.4,16.55,17.475,12,2011,Terrestrial browsers
Creaser's Rampart,B,18.4,16.55,17.475,2,2011,Terrestrial browsers
Dirk's Towers,B,18.4,16.55,17.475,7,2011,Terrestrial browsers
Neville's Garden,B,18.4,16.55,17.475,8,2011,Terrestrial browsers
RSO Site,B,18.4,16.55,17.475,4,2011,Terrestrial browsers
Upper Site,B,18.4,16.55,17.475,9,2011,Terrestrial browsers
Wayne's Wok,B,18.4,16.55,17.475,12,2011,Terrestrial browsers
AL90,C,14.82,13.48,14.15,3,2011,Terrestrial browsers
Cleft of Ages,C,14.82,13.48,14.15,3,2011,Terrestrial browsers
Gag Site,C,14.82,13.48,14.15,5,2011,Terrestrial browsers
Henk's Hollow,C,14.82,13.48,14.15,5,2011,Terrestrial browsers
Jim's Carousel,C,14.82,13.48,14.15,2,2011,Terrestrial browsers
Keith's Chocky Block,C,14.82,13.48,14.15,8,2011,Terrestrial browsers
Last Minute,C,14.82,13.48,14.15,2,2011,Terrestrial browsers
Encore,D,12,10,11,5,2011,Terrestrial browsers
D Site,A,25,25,25,8,2026,Terrestrial browsers
White Hunter,A,25,25,25,11,2026,Terrestrial browsers
Camel Sputum,B,18.4,16.55,17.475,12,2026,Terrestrial browsers
Creaser's Rampart,B,18.4,16.55,17.475,7,2026,Terrestrial browsers
Dirk's Towers,B,18.4,16.55,17.475,10,2026,Terrestrial browsers
Neville's Garden,B,18.4,16.55,17.475,9,2026,Terrestrial browsers
RSO Site,B,18.4,16.55,17.475,4,2026,Terrestrial browsers
Upper Site,B,18.4,16.55,17.475,9,2026,Terrestrial browsers
Wayne's Wok,B,18.4,16.55,17.475,10,2026,Terrestrial browsers
AL90,C,14.82,13.48,14.15,3,2026,Terrestrial browsers
Cleft of Ages,C,14.82,13.48,14.15,4,2026,Terrestrial browsers
Gag Site,C,14.82,13.48,14.15,6,2026,Terrestrial browsers
Henk's Hollow,C,14.82,13.48,14.15,5,2026,Terrestrial browsers
Jim's Carousel,C,14.82,13.48,14.15,4,2026,Terrestrial browsers
Keith's Chocky Block,C,14.82,13.48,14.15,6,2026,Terrestrial browsers
Last Minute,C,14.82,13.48,14.15,2,2026,Terrestrial browsers
Encore,D,12,10,11,4,2026,Terrestrial browsers
D Site,A,25,25,25,0,2011,Arboreal browsers
White Hunter,A,25,25,25,6,2011,Arboreal browsers
Camel Sputum,B,18.4,16.55,17.475,19,2011,Arboreal browsers
Creaser's Rampart,B,18.4,16.55,17.475,8,2011,Arboreal browsers
Dirk's Towers,B,18.4,16.55,17.475,13,2011,Arboreal browsers
Neville's Garden,B,18.4,16.55,17.475,12,2011,Arboreal browsers
RSO Site,B,18.4,16.55,17.475,4,2011,Arboreal browsers
Upper Site,B,18.4,16.55,17.475,14,2011,Arboreal browsers
Wayne's Wok,B,18.4,16.55,17.475,17,2011,Arboreal browsers
AL90,C,14.82,13.48,14.15,8,2011,Arboreal browsers
Cleft of Ages,C,14.82,13.48,14.15,7,2011,Arboreal browsers
Gag Site,C,14.82,13.48,14.15,15,2011,Arboreal browsers
Henk's Hollow,C,14.82,13.48,14.15,11,2011,Arboreal browsers
Jim's Carousel,C,14.82,13.48,14.15,5,2011,Arboreal browsers
Keith's Chocky Block,C,14.82,13.48,14.15,3,2011,Arboreal browsers
Last Minute,C,14.82,13.48,14.15,10,2011,Arboreal browsers
Encore,D,12,10,11,7,2011,Arboreal browsers
D Site,A,25,25,25,0,2026,Arboreal browsers
White Hunter,A,25,25,25,5,2026,Arboreal browsers
Camel Sputum,B,18.4,16.55,17.475,16,2026,Arboreal browsers
Creaser's Rampart,B,18.4,16.55,17.475,8,2026,Arboreal browsers
Dirk's Towers,B,18.4,16.55,17.475,12,2026,Arboreal browsers
Neville's Garden,B,18.4,16.55,17.475,15,2026,Arboreal browsers
RSO Site,B,18.4,16.55,17.475,6,2026,Arboreal browsers
Upper Site,B,18.4,16.55,17.475,18,2026,Arboreal browsers
Wayne's Wok,B,18.4,16.55,17.475,14,2026,Arboreal browsers
AL90,C,14.82,13.48,14.15,9,2026,Arboreal browsers
Cleft of Ages,C,14.82,13.48,14.15,8,2026,Arboreal browsers
Gag Site,C,14.82,13.48,14.15,16,2026,Arboreal browsers
Henk's Hollow,C,14.82,13.48,14.15,11,2026,Arboreal browsers
Jim's Carousel,C,14.82,13.48,14.15,7,2026,Arboreal browsers
Keith's Chocky Block,C,14.82,13.48,14.15,4,2026,Arboreal browsers
Last Minute,C,14.82,13.48,14.15,10,2026,Arboreal browsers
Encore,D,12,10,11,6,2026,Arboreal browsers
D Site,A,25,25,25,0,2011,Hypsodonts and hypselodonts
White Hunter,A,25,25,25,0,2011,Hypsodonts and hypselodonts
Camel Sputum,B,18.4,16.55,17.475,1,2011,Hypsodonts and hypselodonts
Creaser's Rampart,B,18.4,16.55,17.475,1,2011,Hypsodonts and hypselodonts
Dirk's Towers,B,18.4,16.55,17.475,1,2011,Hypsodonts and hypselodonts
Neville's Garden,B,18.4,16.55,17.475,0,2011,Hypsodonts and hypselodonts
RSO Site,B,18.4,16.55,17.475,0,2011,Hypsodonts and hypselodonts
Upper Site,B,18.4,16.55,17.475,1,2011,Hypsodonts and hypselodonts
Wayne's Wok,B,18.4,16.55,17.475,0,2011,Hypsodonts and hypselodonts
AL90,C,14.82,13.48,14.15,0,2011,Hypsodonts and hypselodonts
Cleft of Ages,C,14.82,13.48,14.15,2,2011,Hypsodonts and hypselodonts
Gag Site,C,14.82,13.48,14.15,0,2011,Hypsodonts and hypselodonts
Henk's Hollow,C,14.82,13.48,14.15,0,2011,Hypsodonts and hypselodonts
Jim's Carousel,C,14.82,13.48,14.15,0,2011,Hypsodonts and hypselodonts
Keith's Chocky Block,C,14.82,13.48,14.15,0,2011,Hypsodonts and hypselodonts
Last Minute,C,14.82,13.48,14.15,0,2011,Hypsodonts and hypselodonts
Encore,D,12,10,11,1,2011,Hypsodonts and hypselodonts
D Site,A,25,25,25,0,2026,Hypsodonts and hypselodonts
White Hunter,A,25,25,25,0,2026,Hypsodonts and hypselodonts
Camel Sputum,B,18.4,16.55,17.475,1,2026,Hypsodonts and hypselodonts
Creaser's Rampart,B,18.4,16.55,17.475,0,2026,Hypsodonts and hypselodonts
Dirk's Towers,B,18.4,16.55,17.475,1,2026,Hypsodonts and hypselodonts
Neville's Garden,B,18.4,16.55,17.475,0,2026,Hypsodonts and hypselodonts
RSO Site,B,18.4,16.55,17.475,0,2026,Hypsodonts and hypselodonts
Upper Site,B,18.4,16.55,17.475,2,2026,Hypsodonts and hypselodonts
Wayne's Wok,B,18.4,16.55,17.475,0,2026,Hypsodonts and hypselodonts
AL90,C,14.82,13.48,14.15,0,2026,Hypsodonts and hypselodonts
Cleft of Ages,C,14.82,13.48,14.15,2,2026,Hypsodonts and hypselodonts
Gag Site,C,14.82,13.48,14.15,0,2026,Hypsodonts and hypselodonts
Henk's Hollow,C,14.82,13.48,14.15,0,2026,Hypsodonts and hypselodonts
Jim's Carousel,C,14.82,13.48,14.15,0,2026,Hypsodonts and hypselodonts
Keith's Chocky Block,C,14.82,13.48,14.15,0,2026,Hypsodonts and hypselodonts
Last Minute,C,14.82,13.48,14.15,0,2026,Hypsodonts and hypselodonts
Encore,D,12,10,11,1,2026,Hypsodonts and hypselodonts