Locality_number,Ungulates,HYP,NonHYP,Prop_NonHYP,Longitude,Latitude,Age.max,Age.min,Age,Locality_name,Region
PBDB 176200,15,6,9,0.6,-68.666664,-45.666668,33.6,31.3,32.45,La Cancha,Extratropical
PBDB 38611,6,4,2,0.333333333,-69,-45.5,33.6,31.3,32.45,"Puesto Almendra, Gran Barranca, Chubut",Extratropical
PBDB 38653,7,6,1,0.142857143,-68.5,-44.5,33.6,31.3,32.45,Canadon Blanco,Extratropical
NOW 28686,17,11,6,0.352941176,-70.4,-35,33,31,32,Tinguiririca,Extratropical
PBDB 176201,14,9,5,0.357142857,-68.666664,-45.666668,30.77,30.617,30.6935,La Cantera,Extratropical
PBDB 186572,9,6,3,0.444444444,-66,-44.5,31.3,29.4,30.35,Barrancas Blancas,Extratropical
PBDB 176269,8,3,5,0.625,-68.351387,-46.680832,30,23,26.5,Pico Truncado,Extratropical
PBDB 92670,9,4,5,0.555555556,-69.583336,-43.75,27,26,26.5,El Pajarito,Extratropical
NOW 29570,19,14,5,0.263157895,-69.700972,-36.553694,30,23,26.5,Quebrada Fiera,Extratropical
PBDB 146358,14,11,3,0.214285714,-68.01667,-44.016666,30,23,26.5,"Las Cascadas, Deseado",Extratropical
PBDB 49851,5,3,2,0.4,-68.416664,-44.666668,30,23,26.5,Upper Beds - west side of Scarritt Pocket,Extratropical
NOW 29720,7,5,2,0.285714286,-56.113,-34.293,30,23,26.5,Fray Bentos (Santa Lucia),Extratropical
PBDB 181625,4,3,1,0.25,-58.662746,-29.088318,30,23,26.5,Rio Corrientes,Extratropical
PBDB 181626,4,4,0,0,-58.680832,-29.325556,30,23,26.5,Arroyo Maria Grande,Extratropical
PBDB 176487,4,4,0,0,-58.4,-33.6,30,23,26.5,Palmirense,Extratropical
PBDB 49783,5,3,2,0.4,-68.416664,-44.666668,27.17,23.4,25.285,Crater Lake Beds - Scarritt Pocket,Extratropical
PBDB 14211,26,15,11,0.423076923,-67.488892,-45.234444,24.1,24.1,24.1,Cabeza Blanca,Extratropical
PBDB 50074,18,9,9,0.5,-66.25,-47.900002,24.1,24.1,24.1,La Flecha,Extratropical
PBDB 176465,5,5,0,0,-68.994164,-44.31778,24.1,24.1,24.1,Laguna de los Machos,Extratropical
PBDB 141368,14,4,10,0.714285714,-68.709167,-45.674721,20.9,20.9,20.9,Gran Barranca (Colhuehuapian),Extratropical
PBDB 89027,7,2,5,0.714285714,-69.575279,-38.917778,21,20.01,20.505,Cerro Bandera Type,Extratropical
PBDB 89093,7,5,2,0.285714286,-67.75,-39.133331,21,20.01,20.505,Paso Cordoba,Extratropical
PBDB 89030,4,3,1,0.25,-69.281944,-39.265278,21,20.01,20.505,Cerro Bandera Bayo Mesa,Extratropical
PBDB 189519,6,5,1,0.166666667,-68.50222,-34.90778,19.505,19.455,19.48,Arroyo Seco de la Frazada (Lower Section),Extratropical
PBDB 176205,4,3,1,0.25,-68.666664,-45.666668,19.2,19.2,19.2,Gran Barranca Upper Fossil Zone,Extratropical
PBDB 204203,6,3,3,0.5,-72.466667,-50.633331,19,18,18.5,Sierra Baguales,Extratropical
PBDB 59319,6,5,1,0.166666667,-70.613998,-46.964001,19.04,17.5,18.27,"Portezuelo Sumich Norte, Pinturas Fm., Lago Buenos Aires",Extratropical
NOW 29470,7,5,2,0.285714286,-72.6666,-46.75,18.41,17.5,17.955,Pampa Guadal,Extratropical
PBDB 176571,10,5,5,0.5,-69.183334,-50.75,17.6,17.4,17.5,Rincon del Buque,Extratropical
PBDB 142533,18,8,10,0.555555556,-69.116669,-51.200001,17.62,17.31,17.465,Puesto Estancia La Costa,Extratropical
PBDB 176601,7,2,5,0.714285714,-69.083336,-51.183334,17.62,17.31,17.465,Estancia La Costa Fossiliferous Level 1,Extratropical
PBDB 176599,6,2,4,0.666666667,-69.083336,-51.183334,17.62,17.31,17.465,Estancia La Costa Fossiliferous Level 3,Extratropical
PBDB 176603,7,4,3,0.428571429,-69.099998,-51.200001,17.62,17.31,17.465,Puesto Estancia La Costa Fossiliferous Level 6,Extratropical
PBDB 176635,4,2,2,0.5,-69.083336,-51.150002,17.62,17.31,17.465,Canadon Silva Fossiliferous Level 5.1,Extratropical
PBDB 176636,4,2,2,0.5,-69.099998,-51.200001,17.62,17.31,17.465,Puesto Estancia La Costa Fossiliferous Level 7,Extratropical
PBDB 176602,5,3,2,0.4,-69.099998,-51.200001,17.62,17.31,17.465,Puesto Estancia La Costa Fossiliferous Level 5.3,Extratropical
PBDB 176578,6,4,2,0.333333333,-69.133331,-51.049999,17.62,17.31,17.465,Anfiteatro,Extratropical
PBDB 176600,4,3,1,0.25,-69.083336,-51.183334,17.62,17.31,17.465,Estancia La Costa Fossiliferous Level 4,Extratropical
PBDB 176581,5,4,1,0.2,-69.083336,-51.183334,17.62,17.31,17.465,Estancia La Costa,Extratropical
PBDB 176641,5,4,1,0.2,-69.083336,-51.183334,17.62,17.31,17.465,Estancia La Costa Fossiliferous Level 2,Extratropical
PBDB 87314,7,6,1,0.142857143,-69.466667,-51.566666,17.62,17.31,17.465,Killik Aike Norte,Extratropical
PBDB 176570,9,5,4,0.444444444,-69.083336,-50.599998,17.615,17.31,17.4625,Cerro Observatorio,Extratropical
PBDB 176569,4,3,1,0.25,-69.216667,-50.549999,17.616,16.6,17.108,Canadon de las Vacas,Extratropical
PBDB 140105,6,4,2,0.333333333,-71.23333,-37.650002,17.7,16.4,17.05,Estero Trapa Trapa West - Cerro Campamento (Tcm3),Extratropical
PBDB 176625,4,3,1,0.25,-71.069443,-50.254723,17.21,16.68,16.945,Yaten Huageno (YH) - Estancia El Refugio (EER),Extratropical
PBDB 71843,10,4,6,0.6,-72.300003,-46.900002,17.5,16.3,16.9,Pampa Castillo,Extratropical
PBDB 176590,12,7,5,0.416666667,-69.416664,-51.566666,17.5,16.3,16.9,Rio Gallegos,Extratropical
PBDB 204358,5,3,2,0.4,-69,-51.355,17.5,16.3,16.9,Canadon Las Totoras level 10,Extratropical
PBDB 142529,6,4,2,0.333333333,-69.150002,-51.016666,17.5,16.3,16.9,Campo Barranca,Extratropical
PBDB 176591,6,4,2,0.333333333,-69.562775,-51.600277,17.5,16.3,16.9,Guer Aike,Extratropical
PBDB 206237,6,4,2,0.333333333,-69.024719,-51.338333,17.5,16.3,16.9,Monte Tigre Level 8.1,Extratropical
PBDB 197899,7,5,2,0.285714286,-69.738335,-32,17.5,16.3,16.9,Chinches bearing level,Extratropical
PBDB 176589,4,3,1,0.25,-69.23333,-51.583332,17.5,16.3,16.9,Estancia Halliday,Extratropical
PBDB 176585,5,4,1,0.2,-69.083336,-51.150002,17.5,16.3,16.9,10 miles south of Coy Inlet,Extratropical
PBDB 197900,7,6,1,0.142857143,-69.775002,-31.993334,17.5,16.3,16.9,Las Hornillas bearing level,Extratropical
PBDB 176624,4,4,0,0,-71.837219,-50.363888,17.5,16.3,16.9,Rio Bote - Estancia Maria Elisa,Extratropical
PBDB 210787,11,5,6,0.545454545,-69.719719,-50.208889,17.2,16.3,16.75,Barrancas Blancas (BB) - Estancia Santa Lucia (ESL),Extratropical
PBDB 210786,8,4,4,0.5,-69.683891,-50.163334,17.2,16.3,16.75,Barrancas Blancas (BB) - Estancia Aguada Grande (EAG 1),Extratropical
PBDB 176622,6,4,2,0.333333333,-69.673332,-50.160557,17.2,16.3,16.75,Barrancas Blancas upper (section between Estancia Santa Lucia & Aguada Grande),Extratropical
PBDB 176576,9,5,4,0.444444444,-69.199997,-50.950001,16.5,16.1,16.3,Coy Inlet,Extratropical
PBDB 210153,8,3,5,0.625,-71.900002,-47.52,18.5,14,16.25,Lake Pueyrredon (Santa Cruz Formation),Extratropical
PBDB 210154,7,4,3,0.428571429,-71.849998,-47.583332,18.5,14,16.25,Lago Posadas (Santa Cruz Formation),Extratropical
PBDB 210638,15,7,8,0.533333333,-70.275002,-50.278057,16.5,15.6,16.05,Segundas Barrancas Blancas (SBB) - Estancia Cordon Alto (ECA1 & ECA2),Extratropical
PBDB 210637,6,4,2,0.333333333,-70.22139,-50.278057,16.5,15.6,16.05,Segundas Barrancas Blancas (SBB) - Estancia El Tordillo (EET),Extratropical
PBDB 176623,4,4,0,0,-70.373055,-50.270279,16.5,15.6,16.05,Segundas Barrancas Blancas (SBB) - from Estancia Cordon Alto to Ea el Tordillo,Extratropical
PBDB 197691,7,5,2,0.285714286,-71.622498,-47,16.5,15.1,15.8,Cerro Boleadoras,Extratropical
Extra 7,4,3,1,0.25,-70.2315,-40.849083,15.98,13.82,14.9,Comallo,Extratropical
Extra 9,5,4,1,0.2,-70.6667,-41.1667,15.7,14.1,14.9,Pilcaniyeu Viejo,Extratropical
NOW 28891,11,6,5,0.454545455,-71.23333,-44.61666666,15.5,14,14.75,Alto Rio Cisnes,Extratropical
Extra 8,4,4,0,0,-70.72750454,-40.92594935,15.5,14,14.75,Estacion El Criado,Extratropical
Extra 10,15,12,3,0.2,-70.73437629,-40.11177926,15.4,14,14.7,Rio Collon Cura,Extratropical
Extra 5,4,4,0,0,-69.6850828,-41.34324277,15,14.2,14.6,Cantera Lif Mahuida,Extratropical
PBDB 231228,4,4,0,0,-65.769165,-37.141666,14.1,10.5,12.3,North Cerro Patagua (NCP),Extratropical
Extra 6,4,4,0,0,-70.331944,-42.579583,11.6,10.8,11.2,Cerro Zeballos,Extratropical
PBDB 204650,4,4,0,0,-59.233334,-27.266666,11.8,10,10.9,Laguna Blanca and Rio Felix,Extratropical
NOW 28691,13,9,4,0.307692308,-63.0259,-38.64562,9.43,9.07,9.25,Arroyo Chasico,Extratropical
PBDB 152063,8,7,1,0.125,-65.466667,-37.366669,9.43,9.07,9.25,Cerro La Bota,Extratropical
PBDB 198270,7,5,2,0.285714286,-62.97361,-38.573612,9.02,8.7,8.86,Arenas Blancas,Extratropical
PBDB 151498,7,5,2,0.285714286,-63.526669,-37.731667,9.07,8.2,8.635,Laguna Chillhue,Extratropical
PBDB 55596,6,5,1,0.166666667,-66.949997,-28.333332,8,8,8,"Salicas Formation, Sierra de Velasco, La Rioja",Extratropical
PBDB 204363,5,4,1,0.2,-65.280556,-36.84,8.2,7.09,7.645,Loventue,Extratropical
PBDB 230751,5,5,0,0,-67.248337,-36.396389,7.96,7.283,7.6215,Algarrobo del Aguila,Extratropical
PBDB 204598,5,5,0,0,-64.874443,-35.920834,7.635,6.767,7.201,Estancia Re,Extratropical
PBDB 140925,7,4,3,0.428571429,-64.283333,-36.700001,7.541,6.811,7.176,Bajo Giuliani,Extratropical
PBDB 151500,4,4,0,0,-64.512497,-37.023056,7.7,6.5,7.1,Quehue,Extratropical
PBDB 197784,5,5,0,0,-65.915276,-25.373611,8.8,5.27,7.035,Tonco Valley,Extratropical
PBDB 55600,16,6,10,0.625,-60.233334,-31.483334,9,5,7,"Parana, Pueblo Brugo to Diamante, Ituzaingo Fm.",Extratropical
PBDB 212302,6,3,3,0.5,-62.768612,-37.175556,9,5,7,Robilotte field - SE of Epecuen lagoon & E of Laguna de Epecuen,Extratropical
PBDB 206032,4,2,2,0.5,-62.793056,-37.098331,9,5,7,Laguna La Paraguaya,Extratropical
PBDB 13778,4,3,1,0.25,-64.566666,-37.266666,9,5,7,El Surgente Ranch,Extratropical
PBDB 157794,4,3,1,0.25,-66.066666,-26.799999,6.94,6.82,6.88,Chiquimil A,Extratropical
Extra 1,6,5,1,0.166666667,-68.458885,-33.904167,7.2,6.2,6.7,Huayquerias Fm Lower ,Extratropical
NOW 29719,8,3,5,0.625,-56.98969777,-34.52322092,7.2,6,6.6,Camacho,Extratropical
PBDB 152061,7,5,2,0.285714286,-65.511391,-36.253613,6.5,6.1,6.3,Telen,Extratropical
PBDB 231327,5,5,0,0,-69.065002,-33.299168,7.41,5,6.205,Tupungato‚ Piedras Coloradas Anticlines,Extratropical
NOW 29717,12,6,6,0.5,-63.60635556,-37.21799444,6.3,5.5,5.9,Salinas Grandes de Hidalgo SL,Extratropical
PBDB 204361,4,3,1,0.25,-63.526669,-37.731667,6.2895,5.28,5.78475,Laguna Guatrache,Extratropical
Extra 2,7,5,2,0.285714286,-68.458885,-33.904167,6.2,5.2,5.7,Huayquerias Fm Upper ,Extratropical
PBDB 157795,7,5,2,0.285714286,-66.033333,-26.683332,7.14,3.53,5.335,Santa Maria Valley Andalhuala Fm,Extratropical
NOW 28897,15,10,5,0.333333333,-61.69527778,-38.96694444,5.28,4.5,4.89,Farola Monte Hermoso,Extratropical
PBDB 141939,5,4,1,0.2,-64.668892,-35.693611,5.2,4.2,4.7,Caleufu,Extratropical
Extra 3,5,4,1,0.2,-68.5,-33.833332,5.2,4.176666667,4.688333333,Tunuyan Fm Lower,Extratropical
Extra 4,4,3,1,0.25,-68.5,-33.833332,4.176666667,3.3,3.738333333,Tunuyan Fm Middle,Extratropical
PBDB 176757,4,2,2,0.5,-66.934441,-27.227222,3.66,2.97,3.315,Puerta de Corral Quemado,Extratropical
PBDB 144474,6,2,4,0.666666667,-74.947502,-7.330556,31,30,30.5,CTA-27,Tropical
NOW 28687,20,10,10,0.5,-67.6,-17.2,27,26,26.5,Salla,Tropical
NOW 29428,5,1,4,0.8,-45.54721,-22.95858,30,23,26.5,Taubaté,Tropical
NOW 29712,8,6,2,0.25,-71.011083,-17.218333,26.25,26.25,26.25,Moquegua,Tropical
NOW 27818,8,7,1,0.125,-69.1666667,-18.7,18,17.5,17.75,Chucal,Tropical
PBDB 68402,8,5,3,0.375,-65.583336,-21.666668,16,15,15.5,Nazareno,Tropical
PBDB 91435,7,5,2,0.285714286,-66.316666,-20.866667,16,15,15.5,Cerdas,Tropical
NOW 29440,4,2,2,0.5,-71.332845,11.851611,16.7,14.2,15.45,Castilletes,Tropical
NOW 29721,4,2,2,0.5,-72.72657,-9.377036,15.97,14.523,15.2465,Rio Jurua (Middle Miocene),Tropical
Extra 12,9,2,7,0.777777778,-75.1,3.3,16,12.58,14.29,La Victoria Fm. (La Venta),Tropical
NOW 29426,6,2,4,0.666666667,-73.5167,-10.4,13.8,11.8,12.8,Fitzcarrald,Tropical
NOW 27817,9,4,5,0.555555556,-65.4166667,-21.95,13.1,12.4,12.75,Quebrada Honda,Tropical
Extra 11,7,2,5,0.714285714,-75.1,3.3,12.58,10.52,11.55,Villavieja Fm. (La Venta),Tropical
NOW 28895,6,5,1,0.166666667,-69,-17.3,10.42,9.42,9.92,Achiri,Tropical
NOW 28692,4,2,2,0.5,-72.6951,-9.1375,9,5,7,Acre,Tropical
NOW 29375,4,3,1,0.25,-65.4655555,-19.7159725,4.0834,3.2577,3.67055,Inchasi,Tropical
NOW 29343,4,3,1,0.25,-70.23536,11.298028,3.9565,2.58,3.26825,Norte Casa Chiguaje,Tropical
